Session ID,Date,Day,Start time (EDT),End time (EDT),Track,Room,Session title,Session type,Full description,Short summary,Speakers (name; role; company),Source URL
cg-cro-1245,2026-09-29,Tuesday,12:45,13:05,CRO Circle,Breakout 2,"Block 3 · What You Own — What the CRO owns and why it matters",Regular Session,"Benchmark data on CRO scope versus outcomes.",,Guy Rubin; Revenue Intelligence Managing Director; Fullcast,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-1305,2026-09-29,Tuesday,13:05,13:30,CRO Circle,Breakout 2,"Table work — Building your plan to win in 2027",Regular Session,"Map current scope against the median; pick one function to claim and one to relinquish; draft the CEO pitch with proof metrics.",,,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-1330,2026-09-29,Tuesday,13:30,14:00,CRO Circle,Breakout 2,"Re-share + synthesize — ownership designs",Regular Session,"Tables report back; patterns in ownership and supported claims.",,Guy Rubin; Revenue Intelligence Managing Director; Fullcast,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-1400,2026-09-29,Tuesday,14:00,14:15,CRO Circle,Breakout 2,Break + Booths,Break,,,,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-1415,2026-09-29,Tuesday,14:15,15:00,CRO Circle,Breakout 2,"Block 4 · How You Sell — The Mindset Shift of an AI-Powered Sales Athlete",Regular Session,"The human advantage in an AI-powered world: a framework integrating human judgment, AI and methodology for revenue acceleration.",,Joe Marcin; Force Management,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-1500,2026-09-29,Tuesday,15:00,15:20,CRO Circle,Breakout 2,"Table work — The forecast you'd sign",Regular Session,"Where AI models outpace team accuracy; the invisible forecast signals; the percentage you'd commit to on an unaided forecast.",,,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-1520,2026-09-29,Tuesday,15:20,15:30,CRO Circle,Breakout 2,"Re-share — read your number",Regular Session,"Tables announce percentages; the room votes on CFO-credible forecasts.",,,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-1530,2026-09-29,Tuesday,15:30,15:40,CRO Circle,Breakout 2,Break + Booths,Break,,,,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-1540,2026-09-29,Tuesday,15:40,16:25,CRO Circle,Breakout 2,"Feature talk — CRO comp & equity in an underwater world",Regular Session,"Negotiation strategies for equity compensation, carve-outs and liquidity structures.",,Russ Mikowski; Co-Founder & CEO; 3PunchConvo,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-1625,2026-09-29,Tuesday,16:25,16:55,CRO Circle,Breakout 2,"Wrap — Board-room simulation + the principles we commit to",Regular Session,"One-slide board statement for the Q4 2026 state; shared principles for future-proofing; top three read aloud.",,Jacci Robinson; Pavilion NY,https://pavilion-circles-day-guide.netlify.app/cro
cg-cro-1655,2026-09-29,Tuesday,16:55,17:00,CRO Circle,Breakout 2,Close,Regular Session,"Closing words from a CRO attendee (TBD).",,,https://pavilion-circles-day-guide.netlify.app/cro
cg-cmo-0900,2026-09-29,Tuesday,09:00,09:15,CMO Circle,Main Stage,"Catapult — Your CEO just asked",Regular Session,"The question of the day: what does marketing look like in two years, and do I still need a CMO to run it? Sets the four quadrants — who stays human, where agents sit, who owns the buyer, the moat. MC for the day.",,Kathleen Booth; VP of Marketing; Sequel.io,https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-0915,2026-09-29,Tuesday,09:15,10:00,CMO Circle,Main Stage,"Block 1 · People — Building a GTM Strategy Around People in an Increasingly Autonomous World",Regular Session,"Fireside chat on GTM systems moving from execution support to decision-making on buyer engagement, timing and messaging; signal ambiguity as the new bottleneck.",,"Doug Madey; Influ2
Steve Hardy; CMO; SmartRecruiters",https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-1000,2026-09-29,Tuesday,10:00,10:25,CMO Circle,Main Stage,"Table work — Quadrant build: WHO STAYS HUMAN",Regular Session,"Solo writing then group mapping: one tactic that broke through to you personally, how it was targeted; map your marketing org into human-led vs consolidated roles.",,,https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-1025,2026-09-29,Tuesday,10:25,10:45,CMO Circle,Main Stage,Re-share,Regular Session,"Three tables share org maps; room tests CEO acceptability; quadrant locked.",,Kathleen Booth; VP of Marketing; Sequel.io,https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-1045,2026-09-29,Tuesday,10:45,10:55,CMO Circle,Main Stage,Break + Booths,Break,,,,https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-1055,2026-09-29,Tuesday,10:55,11:20,CMO Circle,Main Stage,"Block 2 · Tech — Everyone Bought the Same Brain: the same tools, the same tactics, the same content. Now what?",Regular Session,"First findings from INFUSE's 2027 Voice of the Marketer global study: how sameness of tools and tactics limited differentiation despite speed gains, the cost of uniformity, and where advantage still exists.",,Victoria Albert; CMO; INFUSE,https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-1120,2026-09-29,Tuesday,11:20,11:45,CMO Circle,Main Stage,"Table work — Quadrant build: WHERE AGENTS SIT",Regular Session,"Sketch your stack, mark agent workflows and non-delegable processes, quantify AI spend, draft tenets for one fundable experiment.",,,https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-1145,2026-09-29,Tuesday,11:45,12:00,CMO Circle,Main Stage,Re-share,Regular Session,"Groups share won't-hand-off workflows and experiment tenets; room challenges honesty vs headcount protection; quadrant locked.",,"Victoria Albert; CMO; INFUSE
Kathleen Booth; VP of Marketing; Sequel.io",https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-1200,2026-09-29,Tuesday,12:00,12:45,CMO Circle,Main Stage,Networking Lunch + Booths,Break,,,,https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-1245,2026-09-29,Tuesday,12:45,13:15,CMO Circle,Main Stage,"Block 3 · Ownership — The Buyer Doesn't Want a Demo. Now What?",Regular Session,"Only 0.2% of buyers are asking to talk to sales. How AI, self-serve and economic-buyer behavior shifted purchasing; an integration model where humans and agents each serve at the optimal moment without premature sales handoff.",,Madhav Bhandari; CMO; Storylane,https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-1315,2026-09-29,Tuesday,13:15,13:45,CMO Circle,Main Stage,"Table work — Quadrant build: WHO OWNS THE BUYER",Regular Session,"Map the 2026 buyer journey, mark the marketing-to-sales ownership boundary, position AI agents at the seam.",,,https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-1345,2026-09-29,Tuesday,13:45,14:15,CMO Circle,Main Stage,Re-share,Regular Session,"Groups present seam maps; room asks whether sales leadership would accept each; quadrant locked.",,Kathleen Booth; VP of Marketing; Sequel.io,https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-1415,2026-09-29,Tuesday,14:15,14:30,CMO Circle,Main Stage,Break + Booths,Break,,,,https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-1430,2026-09-29,Tuesday,14:30,15:00,CMO Circle,Main Stage,"Block 4 · Motions — The Moat",Regular Session,"Keynote by AirOps on the marketing motions that cannot be commoditized. Speaker name not yet published.",,AirOps; ; AirOps,https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-1500,2026-09-29,Tuesday,15:00,15:30,CMO Circle,Main Stage,"Table work — Quadrant build: THE MOAT",Regular Session,"Name 1–3 non-commoditizable marketing motions, defend each, draft the slide headline.",,,https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-1530,2026-09-29,Tuesday,15:30,16:00,CMO Circle,Main Stage,Re-share,Regular Session,"Groups share moats and headlines; room votes on the most defensible headline; quadrant locked.",,Kathleen Booth; VP of Marketing; Sequel.io,https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-1600,2026-09-29,Tuesday,16:00,16:15,CMO Circle,Main Stage,Break + Reset,Break,,,,https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-1615,2026-09-29,Tuesday,16:15,16:55,CMO Circle,Main Stage,"Presentation — The CEO is in the Room",Regular Session,"Each table presents its four-quadrant slide (3 minutes). Rich Gardner judges as a CEO would — sharp, skeptical, time-constrained. Room votes top three; Kathleen Booth synthesizes into a shared CMO manifesto.",,"Kathleen Booth; VP of Marketing; Sequel.io
Rich Gardner; President; Pavilion",https://pavilion-circles-day-guide.netlify.app/cmo
cg-cmo-1655,2026-09-29,Tuesday,16:55,17:00,CMO Circle,Main Stage,Closing Remarks,Regular Session,"Recap, the CMO manifesto, Monday-morning implementation.",,Kathleen Booth; VP of Marketing; Sequel.io,https://pavilion-circles-day-guide.netlify.app/cmo
cg-rev-0900,2026-09-29,Tuesday,09:00,09:20,RevOps Circle,5th Floor Breakout Room,"Catapult — Two Questions From Your CEO",Regular Session,"The two RevOps questions of the day: what do you own, and how does the team evolve. Frames the day around data-driven decision-making. MC for the day.",,Josh Carter; Head of RevOps; 1mind,https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-0920,2026-09-29,Tuesday,09:20,09:50,RevOps Circle,5th Floor Breakout Room,"Block 1 · Trust — RevOps as the Central Intelligence of your Organization",Regular Session,"How AI agents centralize list-building, research and CRM tasks so sellers focus on relationships.",,Daniel Saks; Co-Founder & CEO; Landbase,https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-0950,2026-09-29,Tuesday,09:50,10:20,RevOps Circle,5th Floor Breakout Room,"Table work — Quadrant build: What workflows should be centralized",Regular Session,"Identify three workflows for agent automation and who owns each.",,,https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-1020,2026-09-29,Tuesday,10:20,10:40,RevOps Circle,5th Floor Breakout Room,Re-share,Regular Session,"Room debates workflow prioritization and feasibility.",,Josh Carter; Head of RevOps; 1mind,https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-1040,2026-09-29,Tuesday,10:40,10:50,RevOps Circle,5th Floor Breakout Room,Break + Booths,Break,,,,https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-1050,2026-09-29,Tuesday,10:50,11:05,RevOps Circle,5th Floor Breakout Room,"Block 2 · Calibration — Building your P0 Variable",Regular Session,"Identify and validate the single variable that determines GTM success — the metric that should drive territories, scoring and budgets.",,Anthony Goldbloom; CEO; Sumble (founder of Kaggle),https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-1105,2026-09-29,Tuesday,11:05,11:35,RevOps Circle,5th Floor Breakout Room,"Table work — Quadrant build: Your P0 variable",Regular Session,"Define your current P0 variable, existing solutions, and the gap to ideal.",,,https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-1135,2026-09-29,Tuesday,11:35,12:05,RevOps Circle,5th Floor Breakout Room,Re-share,Regular Session,"Room patterns variable types (countable vs approximated) and alignment approaches.",,Anthony Goldbloom; CEO; Sumble,https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-1205,2026-09-29,Tuesday,12:05,12:50,RevOps Circle,5th Floor Breakout Room,Networking Lunch + Booths,Break,,,,https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-1250,2026-09-29,Tuesday,12:50,13:20,RevOps Circle,5th Floor Breakout Room,"Block 3 · Architecture — How to Fix Your SMB Outbound Program",Regular Session,"Diagnostic framework and benchmarks for negative LTV:CAC in BDR programs, from in-house experimentation.",,David Patterson-Cole; CEO; DataLane,https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-1320,2026-09-29,Tuesday,13:20,13:50,RevOps Circle,5th Floor Breakout Room,"Table work — Quadrant build: Who builds what, and who you staff",Regular Session,"Define RevOps vs GTM-Engineering boundaries, build-vs-buy decisions, and the team structure required.",,,https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-1350,2026-09-29,Tuesday,13:50,14:15,RevOps Circle,5th Floor Breakout Room,Re-share,Regular Session,"Room pressure-tests organizational lines and staffing models.",,Josh Carter; Head of RevOps; 1mind,https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-1415,2026-09-29,Tuesday,14:15,14:30,RevOps Circle,5th Floor Breakout Room,Break + Booths,Break,,,,https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-1430,2026-09-29,Tuesday,14:30,15:15,RevOps Circle,5th Floor Breakout Room,"Block 4 · Operationalize — Don't Police: The Top-Down / Bottom-Up AI Tension",Regular Session,"Governance that balances centralized AI adoption with bottom-up innovation — from restriction to enablement.",,Josh Carter; Head of RevOps; 1mind,https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-1515,2026-09-29,Tuesday,15:15,15:40,RevOps Circle,5th Floor Breakout Room,"Table work — Quadrant build: The enabling policy + headline",Regular Session,"Draft a policy that surfaces and integrates shadow AI; write the slide headline.",,,https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-1540,2026-09-29,Tuesday,15:40,16:05,RevOps Circle,5th Floor Breakout Room,Re-share,Regular Session,"Room votes on fastest-adoption policies and validates headlines.",,Josh Carter; Head of RevOps; 1mind,https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-1605,2026-09-29,Tuesday,16:05,16:15,RevOps Circle,5th Floor Breakout Room,Break + Reset,Break,,,,https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-1615,2026-09-29,Tuesday,16:15,16:55,RevOps Circle,5th Floor Breakout Room,"Presentation — The Judges Are in the Room",Regular Session,"Each table presents its four-quadrant slide (3 minutes); top three get judge feedback.",,"Josh Carter; Head of RevOps; 1mind
Susan Whittemore; ; tax.com
Anne Pao; ; Ignite Consulting",https://pavilion-circles-day-guide.netlify.app/revops
cg-rev-1655,2026-09-29,Tuesday,16:55,17:00,RevOps Circle,5th Floor Breakout Room,Closing Remarks,Regular Session,"Synthesis of the day's outputs and Monday implementation priorities.",,Josh Carter; Head of RevOps; 1mind,https://pavilion-circles-day-guide.netlify.app/revops
cg-ceo-0900,2026-09-29,Tuesday,09:00,09:45,CEO Circle,Breakout 1,"Opening Keynote — A Year in Transition",Keynote Session,"Opening keynote. MC for the day.",,Seamus Ruiz-Earle; The Pipeline Group,https://pavilion-circles-day-guide.netlify.app/ceo
cg-ceo-0950,2026-09-29,Tuesday,09:50,10:45,CEO Circle,Breakout 1,"AI That Is Actually Working w/ CEOs Who Are Actually Using It",Regular Session,"Panel of CEOs on AI that is in production and paying back.",,Kevin McLaughlin,https://pavilion-circles-day-guide.netlify.app/ceo
cg-ceo-1045,2026-09-29,Tuesday,10:45,11:00,CEO Circle,Breakout 1,Break & Networking,Break,,,,https://pavilion-circles-day-guide.netlify.app/ceo
cg-ceo-1100,2026-09-29,Tuesday,11:00,11:45,CEO Circle,Breakout 1,"Your Revenue Target Is Not a Strategy",Regular Session,"At scale, pipeline stops being a sales problem and becomes an operating-system problem; CEOs must shift from generating pipeline to understanding revenue mechanics.",,Ken Jisser; Founder & CEO; The Pipeline Group,https://pavilion-circles-day-guide.netlify.app/ceo
cg-ceo-1145,2026-09-29,Tuesday,11:45,12:30,CEO Circle,Breakout 1,"Pricing and Packaging — SOSPR",Regular Session,,,Pat Doran,https://pavilion-circles-day-guide.netlify.app/ceo
cg-ceo-1230,2026-09-29,Tuesday,12:30,13:15,CEO Circle,Breakout 1,Lunch,Break,,,,https://pavilion-circles-day-guide.netlify.app/ceo
cg-ceo-1330,2026-09-29,Tuesday,13:30,14:15,CEO Circle,Breakout 1,"AI Needs Better Data",Regular Session,"How connected, high-quality data lets AI deliver competitive advantage across revenue functions.",,"Katie Kriete; GVP Sales Strategy; Oracle NetSuite
Daniel Vassilev; CEO; Relevance AI",https://pavilion-circles-day-guide.netlify.app/ceo
cg-ceo-1420,2026-09-29,Tuesday,14:20,15:15,CEO Circle,Breakout 1,"Investor Session",Regular Session,"Panel with investors.",,Ramin Abrams,https://pavilion-circles-day-guide.netlify.app/ceo
cg-ceo-1515,2026-09-29,Tuesday,15:15,15:30,CEO Circle,Breakout 1,Break & Networking,Break,,,,https://pavilion-circles-day-guide.netlify.app/ceo
cg-ceo-1530,2026-09-29,Tuesday,15:30,16:15,CEO Circle,Breakout 1,"What Your Team Wishes You Knew",Regular Session,"Panel.",,Chip Neidigh,https://pavilion-circles-day-guide.netlify.app/ceo
cg-ceo-1620,2026-09-29,Tuesday,16:20,17:00,CEO Circle,Breakout 1,"Closing Keynote — The Transformational CEO",Keynote Session,,,Aled Miles,https://pavilion-circles-day-guide.netlify.app/ceo
cg-all-1725,2026-09-29,Tuesday,17:25,18:30,CRO Circle | CMO Circle | RevOps Circle | CEO Circle,Exhibitor Hall,GTM2026 Opening Reception,Networking,"Circle-day guide lists 5:25–6:30pm (RevOps page says 5:40–6:40). The Accelevents export lists a Circles Day Cocktail Reception 17:00–18:00. Treat the start as ~17:00–17:40 and confirm on site.",,,https://pavilion-circles-day-guide.netlify.app/
