Day,Session Time,Room,Session Title,Speaker(s)
"Thursday, October 1",10:15 AM - 10:40 AM,Mainstage,Why your AIxGTM Transformation Is Failing (And the One Thing That Could Fix It),"Amos Bar-Joseph, CEO & Co-Founder, Swan AI"
"Thursday, October 1",10:45 AM - 11:25 AM,Mainstage,The AI- Native Playbook: How Three Companies Rebuilt GTM from the Inside Out,"Keith Peiris, Co-Founder & CEO, Lightfield"
"Thursday, October 1",10:45 AM - 11:25 AM,Breakout 1,"Build, Buy, or Partner? A Practical Framework for Scaling GTM Automation","Sapan Parikh, Director, Revenue Strategy & Operations, Justworks"
"Thursday, October 1",10:45 AM - 11:25 AM,Breakout 2,The Operator Gap: Why GTM Strategies Stall After the Deck Is Approved,"Joe Aurilia, COO, Cyware/Peak Projects"
"Thursday, October 1",11:30 AM - 12:10 PM,Breakout 1,How to Use AI to Pressure-Test GTM Strategy with Real Buyer Language,"Leah Russo, VP of Marketing, Clearco"
"Thursday, October 1",11:30 AM - 12:10 PM,Mainstage,Gimme the Glengarry Leads - How Sales and Marketing Can (Truly) Work Together,"Nycole Walsh, Head of Digital Services, Kickstand"
,,,,"Colby Proffitt, CMO, Seekr"
,,,,"Radhika Tandon, Advisor & Board Member, Infinx"
,,,,"Shep Maher, Managing Director, WestCap"
"Thursday, October 1",11:30 AM - 12:10 PM,Breakout 2,AI in Practice for Fractionals,"Crys Black, Fractional CMO and AI Enablement, Crys Black Consulting"
,,,,"Neil Weitzman, GTM Operator/Fractional CRO/Advisor, weitzman.gtm"
,,,,"John Williams, Chief Principal, Sun Business Group"
"Thursday, October 1",12:15 PM- 1:15 PM,LUNCH,,
"Thursday, October 1",1:15 PM - 1:35 PM,Mainstage,How to make money building AI agents operating at the frontier,"Manny Medina, Co-Founder, CEO, Paid"
"Thursday, October 1",1:35 PM - 2:15 PM ,Breakout 1,Focus Beats Everything: How the Best Saas Teams Use Metrics to Grow,"Sara Archer, CRO, ChartMogul"
"Thursday, October 1",1:35 PM - 2:15 PM ,Breakout 2,AI-in-Action Workshop: Hands on Keyboard Building Time ,"Andy Jolls Founder/CEO, Roxology, LLC"
,,,,"Jonathan Moss, EVP - Growth, Partnerships and Incubation,       Experity "
"Thursday, October 1",1:35 PM - 2:15 PM,Mainstage,The 100x (?) GTM Playbook - what does going AI native mean,"Gaurav Agarwal, President/COO, ClickUp"
"Thursday, October 1",2:20 PM - 3:00 PM,Breakout 1,Signal-Driven Revenue: Turning External Data into Predictable Pipeline,"Jon Car Harris, Founder & CEO, CRED"
"Thursday, October 1",2:20 PM - 3:00 PM,Breakout 2,From AI Experimentation to Coordinated Impact,"Sam Schumacher,  Solutions Consultant, Mural"
,,,,"Alex Ticas, AVP, Revenue, Mural"
"Thursday, October 1",2:20 PM - 3:00 PM,Mainstage,The Great Rethink: Prioritizing Learning Over Labor in the Next Era of Revenue Growth,"Monika Saha, CCO, Articulate"
"Thursday, October 1",3:05 PM - 3:45 PM,Mainstage,Human Leadership in the Age of AI: A Fireside Chat with Nick Mehta & Sam Jacobs,"Nick Mehta, EIR, Bessemer Venture Partners and former CEO & Co-Founder, Gainsight ,and Sam Jacobs, CEO & Founder, Pavilion"
"Thursday, October 1",3:45 PM - 3:55 PM,Mainstage,Closing Remarks,"Sam Jacobs, CEO & Founder, Pavilion"
